0,"$TSLA former 5dMA stubborn resistance is acting as a support now 🏋️‍♂️

60,$TNR.v $GNENF TNR Gold Reports on Royalty Holding: #Ganfeng Provides Technical Report with Increase of Measured + Indicated Resource to 4.41 Million Tonnes LCE at Mariana Lithium Brine Project https://t.co/cb6loDzeZC $LIT $BATT $TSLA $GDX $GDXJ https://t.co/JrmN3UlP4o,2,2,2020-03-28 22:02:17
61,"Kirill Klip @kirillklip, TNR Gold: “We are very pleased to see this more than 250% increase in measured and indicated resources from the 2017 resource estimate at Mariana and that #Ganfeng Lithium is advancing this project https://t.co/cb6loDzeZC $TNR.v $GNENF $TSLA $BATT $GDX https://t.co/9cXrax3Dzn",3,2,2020-03-28 22:01:36
62,@Sandro_power $STUDY recap of $TSLA option plan. Find out how to get into the group. Two people have a chance to receive $400!,0,0,2020-03-28 22:00:27
63,"How to Use Options Delta to Mitigate Risk and Increase Your Profits in $MSFT and $TSLA for example...  https://t.co/NUSkjbo6MU

#optionstrading   #investing #makemoney",1,0,2020-03-28 22:00:20
64,"Solar Fuel: Yep, It’s A Genuine Artificial Leaf https://t.co/twe18BtE13 #TeamElon $TSLA #Tesla",1,1,2020-03-28 22:00:18
65,"$Brk, $birg, $arionsdb, $wed and shorts like $htz and $Tsla. To name a few.
Please reach out to me to find out more.",1,1,2020-03-28 22:00:11
66,China cars sales off 59% Tesla’s price d 20% higher then home grown brands. Good luck moving all the Chinese produced metal. Only option lower prices lose more money 💴 $tsla $tslaq https://t.co/YDX251ICOC,0,1,2020-03-28 21:59:47
67,$TSLA Max Pain=550.00. Maturity=04/03/2020. #maxpain #options https://t.co/M4kIFpWMKk https://t.co/qFMUcyWDRh,0,0,2020-03-28 21:59:45
68,Tesla Capex has shrunk for the past two years. Also last year gross revenue shrunk. The growth story didn’t exist prior to the virus 🦠 was fiction and now is a complete fairytale . $tsla $tslaq,0,4,2020-03-28 21:56:10
69,"@GreatPaulSmith @elonmusk Because $TSLA is the most inefficient carmaker in the world &amp; has net debt. All others have net cash because they survived (or got rebooted after) the 2008 financial crisis, which was a cake walk compared to this demand shock.",1,30,2020-03-28 21:55:03
